31	7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	6	7	7	7	7	
7	31	7	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	7	7	8	
7	7	31	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	7	8	8	
7	7	7	31	7	7	7	6	6	6	6	6	6	6	6	6	6	7	8	8	8	
7	7	7	7	8	7	6	6	6	6	6	5	5	6	6	6	7	8	8	8	8	
7	7	7	7	7	31	7	6	6	6	5	5	5	5	6	7	7	8	8	8	8	
7	7	7	7	6	7	31	7	6	5	5	5	5	5	7	7	8	8	8	8	8	
7	7	7	6	6	6	7	31	7	6	5	1	5	7	8	7	7	8	8	8	8	
7	7	6	6	6	6	6	7	31	6	5	5	7	7	7	7	7	7	8	8	8	
7	6	6	6	6	6	5	6	6	31	7	7	8	6	7	7	7	7	7	7	8	
6	6	6	6	6	5	5	5	5	7	31	7	5	6	6	7	7	7	7	7	7	
6	6	6	6	5	5	5	1	5	7	7	31	1	5	5	5	6	6	6	6	6	
6	6	6	6	5	5	5	5	7	8	5	1	31	7	6	6	6	6	7	7	7	
6	6	6	6	6	5	5	7	7	6	6	5	7	31	7	9	10	9	6	7	8	
6	6	6	6	6	6	7	8	7	7	6	5	6	7	31	6	7	9	7	7	7	
6	6	6	6	6	7	7	7	7	7	7	5	6	6	6	31	7	10	8	8	8	
6	6	6	6	7	7	8	7	7	7	7	6	6	10	7	7	31	7	8	7	9	
7	6	6	7	8	8	8	8	7	7	7	6	6	9	9	10	7	31	7	10	8	
7	7	7	8	8	8	8	8	8	7	7	6	7	6	7	8	8	7	31	8	10	
7	7	8	8	8	8	8	8	8	7	7	6	7	7	7	8	7	10	8	31	8	
7	8	8	8	8	8	8	8	8	8	7	6	7	8	7	8	9	8	10	8	31	
